epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5176,2.08809,3.00071,1.59275,0.75511,0.06715,0.12038,0.04912,1.96974,3.71775,1.78093,0.000548055,0.000548055,0.000548055
2,118.288,1.96348,2.04383,1.61616,0.43086,0.41787,0.38801,0.14861,2.1078,2.3457,1.80913,0.00110345,0.00110345,0.00110345
3,159.801,1.96006,1.91185,1.60157,0.33956,0.32247,0.23255,0.08261,2.32277,2.69164,2.04972,0.00165777,0.00165777,0.00165777
4,197.917,1.99733,1.89009,1.6361,0.15933,0.22668,0.06473,0.02442,2.5456,5.71922,2.3923,0.00166334,0.00166334,0.00166334
5,234.699,1.92859,1.78164,1.63233,0.54192,0.52606,0.49263,0.18875,2.02221,2.33347,1.79723,0.00166049,0.00166049,0.00166049
6,272.276,1.94147,1.68363,1.60526,0.57227,0.54876,0.54071,0.19409,2.14211,1.65662,1.94794,0.00165684,0.00165684,0.00165684
7,309.868,1.91504,1.63165,1.58156,0.45759,0.4639,0.44023,0.16594,2.05779,1.91089,1.87666,0.00165238,0.00165238,0.00165238
8,346.662,1.87837,1.63995,1.58528,0.52895,0.59302,0.53289,0.20328,1.97751,1.91964,1.7555,0.00164713,0.00164713,0.00164713
9,382.574,1.86694,1.57419,1.54669,0.4852,0.60197,0.55988,0.23705,1.90199,1.49117,1.68174,0.00164108,0.00164108,0.00164108
10,419.61,1.83431,1.51947,1.55086,0.58144,0.58196,0.56733,0.2197,2.03844,1.58478,1.8243,0.00163424,0.00163424,0.00163424
11,456.976,1.85607,1.52751,1.57513,0.64848,0.61966,0.62885,0.25153,1.88954,1.53464,1.69048,0.00162661,0.00162661,0.00162661
12,493.88,1.8385,1.50107,1.54145,0.55483,0.57506,0.55123,0.21238,2.01577,1.78995,1.85528,0.00161822,0.00161822,0.00161822
13,530.087,1.84439,1.49063,1.52577,0.63045,0.60304,0.64225,0.26033,1.9699,1.3445,1.74205,0.00160905,0.00160905,0.00160905
14,568.421,1.8077,1.4474,1.52163,0.62248,0.6045,0.61797,0.24348,1.95874,1.36995,1.7689,0.00159913,0.00159913,0.00159913
15,606.731,1.80406,1.4237,1.51636,0.5895,0.6371,0.64685,0.25806,1.98709,1.32967,1.71721,0.00158847,0.00158847,0.00158847
16,644.14,1.81081,1.44867,1.50578,0.62666,0.66822,0.6526,0.24331,2.0221,1.49574,1.78484,0.00157706,0.00157706,0.00157706
17,679.722,1.78744,1.39482,1.49904,0.58581,0.59829,0.61749,0.26186,1.92851,1.32415,1.65265,0.00156493,0.00156493,0.00156493
18,716.062,1.79388,1.3826,1.49157,0.68831,0.64357,0.69607,0.31133,1.78044,1.22741,1.58979,0.00155209,0.00155209,0.00155209
19,752.32,1.77875,1.37063,1.50403,0.70228,0.6758,0.70266,0.30848,1.85588,1.19284,1.64787,0.00153854,0.00153854,0.00153854
20,791.968,1.75202,1.32311,1.48008,0.62894,0.6745,0.65144,0.28846,1.8012,1.28798,1.59933,0.00152431,0.00152431,0.00152431
21,831.684,1.74367,1.31936,1.47478,0.67301,0.66008,0.68547,0.3074,1.80414,1.18738,1.61119,0.00150941,0.00150941,0.00150941
22,868.858,1.71433,1.36059,1.48556,0.66236,0.66815,0.68772,0.31377,1.78704,1.21398,1.59687,0.00149384,0.00149384,0.00149384
23,906.55,1.72689,1.31115,1.47648,0.65417,0.61813,0.62927,0.27475,1.89062,1.46081,1.65925,0.00147764,0.00147764,0.00147764
24,943.075,1.73562,1.32648,1.46276,0.59673,0.58828,0.63056,0.29246,1.80076,1.27536,1.58551,0.0014608,0.0014608,0.0014608
25,978.512,1.75088,1.3444,1.48044,0.70263,0.69284,0.72567,0.33141,1.75848,1.1603,1.58081,0.00144335,0.00144335,0.00144335
26,1014.45,1.73819,1.25303,1.42971,0.75719,0.7059,0.7446,0.33052,1.80661,1.08797,1.60121,0.00142531,0.00142531,0.00142531
27,1050.82,1.70961,1.27141,1.42818,0.68883,0.70483,0.71852,0.31934,1.83034,1.19389,1.603,0.0014067,0.0014067,0.0014067
28,1086.4,1.72073,1.26314,1.44988,0.74184,0.69287,0.73411,0.33568,1.75229,1.06973,1.56849,0.00138753,0.00138753,0.00138753
29,1122.96,1.72344,1.28619,1.46411,0.67096,0.66772,0.67732,0.30602,1.78532,1.17328,1.56601,0.00136781,0.00136781,0.00136781
30,1159.54,1.695,1.25412,1.445,0.70768,0.70711,0.708,0.32051,1.77515,1.13427,1.56927,0.00134758,0.00134758,0.00134758
31,1196.22,1.67708,1.21628,1.41904,0.66854,0.65561,0.67888,0.29867,1.86338,1.18787,1.64233,0.00132685,0.00132685,0.00132685
32,1231.86,1.68904,1.22905,1.42189,0.72769,0.70774,0.73514,0.34062,1.74536,1.06874,1.54964,0.00130565,0.00130565,0.00130565
33,1269.18,1.68346,1.22431,1.42546,0.75,0.70239,0.74618,0.33677,1.72743,1.07176,1.53819,0.00128398,0.00128398,0.00128398
34,1306.52,1.72004,1.23203,1.42381,0.72241,0.74067,0.72454,0.32483,1.7893,1.09636,1.56501,0.00126188,0.00126188,0.00126188
35,1342.67,1.68417,1.21959,1.4164,0.70967,0.70244,0.74802,0.35322,1.72159,1.07412,1.54187,0.00123936,0.00123936,0.00123936
36,1378.83,1.68706,1.21575,1.42673,0.77222,0.72548,0.77083,0.3505,1.76675,1.03182,1.57687,0.00121645,0.00121645,0.00121645
37,1415.03,1.66757,1.19509,1.42318,0.74587,0.6994,0.75262,0.36022,1.71851,1.03187,1.54112,0.00119317,0.00119317,0.00119317
38,1450.94,1.65476,1.18313,1.40168,0.70918,0.66419,0.70825,0.33114,1.69907,1.05291,1.52407,0.00116955,0.00116955,0.00116955
39,1486.3,1.66529,1.19702,1.41707,0.78903,0.71502,0.76758,0.35893,1.68758,1.07089,1.5068,0.0011456,0.0011456,0.0011456
40,1522.97,1.6412,1.1824,1.38466,0.73275,0.70286,0.74477,0.34911,1.71457,1.05819,1.52008,0.00112135,0.00112135,0.00112135
41,1560.07,1.62589,1.14783,1.40348,0.74662,0.76361,0.78769,0.36835,1.68034,0.95992,1.50279,0.00109683,0.00109683,0.00109683
42,1595.28,1.6598,1.1677,1.3912,0.76684,0.71247,0.77406,0.37298,1.63999,1.00699,1.48679,0.00107205,0.00107205,0.00107205
43,1631.21,1.63995,1.16459,1.3955,0.75097,0.73569,0.77061,0.37523,1.66046,0.99561,1.49119,0.00104705,0.00104705,0.00104705
44,1667.44,1.6217,1.15232,1.39673,0.78842,0.73597,0.78332,0.36564,1.70655,1.00685,1.52509,0.00102184,0.00102184,0.00102184
45,1703.03,1.62123,1.12746,1.38821,0.73255,0.7467,0.76863,0.37066,1.67085,0.96613,1.49969,0.000996456,0.000996456,0.000996456
46,1738.98,1.6246,1.11701,1.39344,0.69295,0.67786,0.73382,0.36056,1.65941,1.01362,1.49873,0.000970919,0.000970919,0.000970919
47,1775.95,1.61849,1.12897,1.39028,0.77449,0.75096,0.78581,0.38078,1.64743,0.95148,1.49233,0.000945256,0.000945256,0.000945256
48,1813.11,1.63455,1.12195,1.39669,0.74859,0.73474,0.77823,0.37264,1.68123,0.94718,1.49354,0.00091949,0.00091949,0.00091949
49,1849.13,1.66362,1.1108,1.37566,0.73632,0.71986,0.76136,0.36023,1.70472,1.02365,1.50905,0.000893648,0.000893648,0.000893648
50,1886.61,1.62227,1.08368,1.37512,0.75023,0.69772,0.75291,0.35951,1.70818,1.05758,1.52464,0.000867754,0.000867754,0.000867754
51,1924.02,1.65504,1.12713,1.38089,0.70467,0.71268,0.75709,0.37307,1.64607,1.00514,1.47583,0.000841835,0.000841835,0.000841835
52,1961.94,1.58859,1.09288,1.36577,0.68855,0.67161,0.72906,0.35383,1.6851,1.02101,1.50318,0.000815916,0.000815916,0.000815916
53,1997.77,1.59604,1.07002,1.36164,0.76933,0.77598,0.80946,0.38965,1.61758,0.92141,1.46212,0.000790022,0.000790022,0.000790022
54,2035.38,1.59172,1.09094,1.35983,0.71055,0.69904,0.73091,0.35534,1.69824,1.01795,1.50978,0.00076418,0.00076418,0.00076418
55,2071.91,1.60198,1.09195,1.36871,0.79314,0.78634,0.80813,0.38794,1.64384,0.91802,1.47655,0.000738414,0.000738414,0.000738414
56,2107.85,1.577,1.03296,1.34129,0.77456,0.76981,0.81167,0.39357,1.62734,0.89816,1.45433,0.000712751,0.000712751,0.000712751
57,2144.35,1.57277,1.05381,1.35119,0.78611,0.75639,0.79989,0.39125,1.62665,0.85991,1.45041,0.000687214,0.000687214,0.000687214
58,2181.08,1.57445,1.04171,1.34707,0.81027,0.76333,0.81959,0.39856,1.6304,0.88273,1.45713,0.000661831,0.000661831,0.000661831
59,2220.09,1.59977,1.04271,1.34181,0.75496,0.76814,0.79336,0.38925,1.62797,0.93615,1.46679,0.000636625,0.000636625,0.000636625
60,2256.17,1.58281,1.06152,1.3476,0.73399,0.73629,0.78271,0.38005,1.63594,0.92577,1.47143,0.000611621,0.000611621,0.000611621
61,2293.23,1.56358,1.05403,1.34471,0.75826,0.74994,0.79553,0.38582,1.63261,0.90633,1.46433,0.000586845,0.000586845,0.000586845
62,2330.5,1.58437,1.04835,1.35188,0.80676,0.78423,0.82144,0.40114,1.61682,0.83929,1.45023,0.00056232,0.00056232,0.00056232
63,2367.72,1.57828,1.03881,1.34264,0.79499,0.7733,0.81283,0.39988,1.62143,0.86137,1.45291,0.000538072,0.000538072,0.000538072
64,2403.77,1.57129,1.02988,1.34253,0.79148,0.765,0.81078,0.39493,1.63503,0.8627,1.46389,0.000514122,0.000514122,0.000514122
65,2440.91,1.55883,1.00246,1.33599,0.78208,0.79088,0.81567,0.39626,1.61505,0.87174,1.44109,0.000490497,0.000490497,0.000490497
66,2478.18,1.55891,1.00602,1.33683,0.77511,0.774,0.80941,0.4029,1.58005,0.86199,1.41709,0.000467218,0.000467218,0.000467218
67,2515.84,1.56112,1.00492,1.34895,0.78708,0.76237,0.79925,0.40077,1.60297,0.86666,1.43941,0.000444309,0.000444309,0.000444309
68,2551.99,1.54958,0.99251,1.3322,0.79867,0.77346,0.81272,0.40786,1.57817,0.84416,1.42481,0.000421792,0.000421792,0.000421792
69,2589.93,1.54798,0.99477,1.33048,0.80545,0.74529,0.80351,0.40235,1.58694,0.84663,1.42867,0.000399689,0.000399689,0.000399689
70,2626.93,1.5779,0.99411,1.3205,0.79984,0.78674,0.82029,0.40089,1.60229,0.8511,1.43259,0.000378023,0.000378023,0.000378023
71,2663.47,1.52787,0.9773,1.30431,0.7772,0.77794,0.8086,0.40089,1.60373,0.84436,1.43462,0.000356815,0.000356815,0.000356815
72,2698.35,1.52612,0.99095,1.30972,0.80847,0.77587,0.82319,0.41131,1.60025,0.83598,1.44159,0.000336086,0.000336086,0.000336086
73,2734.4,1.53802,0.98918,1.3137,0.77089,0.78968,0.82143,0.41128,1.5912,0.84673,1.43085,0.000315855,0.000315855,0.000315855
74,2770.56,1.53922,0.99135,1.32228,0.79707,0.78038,0.82092,0.41224,1.59086,0.82874,1.43279,0.000296144,0.000296144,0.000296144
75,2805.61,1.52739,0.95009,1.29298,0.77258,0.7853,0.81249,0.40469,1.58376,0.83059,1.43562,0.000276971,0.000276971,0.000276971
76,2842.03,1.53396,0.95916,1.30589,0.81021,0.79704,0.83466,0.42028,1.5802,0.81934,1.41954,0.000258355,0.000258355,0.000258355
77,2878.08,1.51514,0.9474,1.30096,0.80471,0.7783,0.82562,0.40903,1.58938,0.83329,1.42266,0.000240316,0.000240316,0.000240316
78,2914.04,1.51954,0.94039,1.29662,0.80857,0.78205,0.82912,0.41408,1.59155,0.82458,1.42296,0.00022287,0.00022287,0.00022287
79,2951.16,1.49456,0.94962,1.29536,0.79686,0.79191,0.83327,0.42137,1.56554,0.82349,1.40643,0.000206034,0.000206034,0.000206034
80,2989.41,1.49679,0.95749,1.30303,0.81071,0.7994,0.83128,0.41833,1.57029,0.81361,1.40862,0.000189827,0.000189827,0.000189827
81,3027.23,1.50304,0.93754,1.29088,0.81702,0.78927,0.82959,0.41774,1.57523,0.81576,1.40859,0.000174262,0.000174262,0.000174262
82,3064.7,1.51451,0.96082,1.29637,0.80779,0.79638,0.83077,0.41964,1.56351,0.81877,1.3972,0.000159357,0.000159357,0.000159357
83,3102.63,1.51451,0.95069,1.29626,0.81248,0.79365,0.8285,0.42167,1.56236,0.81173,1.39599,0.000145125,0.000145125,0.000145125
84,3140.73,1.47808,0.92981,1.2965,0.787,0.78294,0.81364,0.41281,1.57698,0.80482,1.41222,0.000131581,0.000131581,0.000131581
85,3179.01,1.48771,0.94147,1.29414,0.8079,0.79696,0.831,0.42092,1.57411,0.80403,1.40592,0.000118737,0.000118737,0.000118737
