epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5531,1.59254,0.92848,1.3285,0.73964,0.76523,0.76488,0.38853,1.50822,0.82907,1.38451,0.000551861,0.000551861,0.000551861
2,108.763,1.58124,0.97579,1.32527,0.72247,0.72061,0.77825,0.38001,1.56011,0.88874,1.44643,0.00110726,0.00110726,0.00110726
3,150.227,1.60991,1.04854,1.34701,0.75717,0.74842,0.78333,0.36744,1.63687,0.94526,1.47421,0.00166157,0.00166157,0.00166157
4,191.654,1.64305,1.06586,1.3694,0.74096,0.73304,0.77051,0.37238,1.5579,0.93952,1.43034,0.00166334,0.00166334,0.00166334
5,233.36,1.60949,1.06201,1.35344,0.76631,0.75318,0.76574,0.35785,1.63945,0.94734,1.48086,0.00166049,0.00166049,0.00166049
6,275.172,1.67328,1.1019,1.37206,0.69079,0.70302,0.73776,0.36771,1.54825,0.99535,1.46107,0.00165684,0.00165684,0.00165684
7,317.543,1.63336,1.07559,1.3876,0.74429,0.75065,0.77586,0.36197,1.62129,1.01879,1.48485,0.00165238,0.00165238,0.00165238
8,359.062,1.66719,1.06855,1.36839,0.77337,0.74265,0.79656,0.38644,1.57622,0.88183,1.47503,0.00164713,0.00164713,0.00164713
9,401.09,1.63884,1.05633,1.3654,0.70128,0.73172,0.74288,0.36327,1.62293,0.97052,1.48944,0.00164108,0.00164108,0.00164108
10,442.801,1.64131,1.04627,1.36293,0.74379,0.74371,0.78578,0.37344,1.59475,0.91462,1.46998,0.00163424,0.00163424,0.00163424
11,484.669,1.61643,1.05102,1.34801,0.77045,0.73962,0.79902,0.37922,1.56028,0.89448,1.43002,0.00162661,0.00162661,0.00162661
12,526.393,1.61632,1.0653,1.35525,0.75375,0.73057,0.77801,0.36475,1.60781,0.93904,1.46541,0.00161822,0.00161822,0.00161822
13,568.324,1.64897,1.07223,1.3595,0.69975,0.69803,0.7397,0.3719,1.56572,0.93743,1.43917,0.00160905,0.00160905,0.00160905
14,610.279,1.64345,1.05537,1.3535,0.71038,0.71342,0.74132,0.35976,1.58069,0.91739,1.44988,0.00159913,0.00159913,0.00159913
15,652.51,1.59673,1.01734,1.34457,0.71528,0.75813,0.79383,0.38193,1.55904,0.9178,1.43412,0.00158847,0.00158847,0.00158847
16,695.414,1.57283,1.0144,1.34201,0.80483,0.76538,0.80134,0.39223,1.55194,0.88881,1.43828,0.00157706,0.00157706,0.00157706
17,738.399,1.60799,1.03155,1.35495,0.72827,0.75273,0.75833,0.37282,1.53879,0.9459,1.42159,0.00156493,0.00156493,0.00156493
18,780.748,1.60354,1.03953,1.35224,0.78271,0.76184,0.80547,0.37943,1.57674,0.89916,1.45995,0.00155209,0.00155209,0.00155209
19,822.389,1.62055,1.0303,1.35174,0.76526,0.75656,0.78349,0.37455,1.58825,0.90977,1.45485,0.00153854,0.00153854,0.00153854
20,863.857,1.59979,1.03379,1.34356,0.76678,0.74982,0.79545,0.39201,1.51839,0.87773,1.40403,0.00152431,0.00152431,0.00152431
21,905.433,1.61441,1.02796,1.34361,0.6958,0.68059,0.70005,0.36198,1.53186,0.89081,1.41399,0.00150941,0.00150941,0.00150941
22,948.446,1.59945,1.0211,1.34209,0.69724,0.76548,0.76961,0.36515,1.6468,0.94277,1.48542,0.00149384,0.00149384,0.00149384
